feature,importance
energy_freq_bands_beta_C3,0.010971027208447032
pow_freq_bands_beta_CP5,0.005947446786493898
pow_freq_bands_beta_C3,0.005260200368760813
energy_freq_bands_alpha_Oz,0.004734396979877845
energy_freq_bands_beta_F3,0.004227428022319523
energy_freq_bands_alpha_F4,0.0040893798563944395
energy_freq_bands_alpha_FC1,0.0038639851873372836
energy_freq_bands_alpha_Fp1,0.0038445370815131615
pow_freq_bands_alpha_F4,0.003543155883637476
spect_corr_CP5_P7,0.0034019408150518207
spect_corr_CP5_P3,0.003275951753426975
energy_freq_bands_delta_F8,0.0032335378340823673
spect_corr_P8_FC6,0.003196951323057888
spect_corr_P8_Fp2,0.0029431529801186005
spect_entropy_Oz,0.0028121527870162964
skewness_P3,0.0026575140608081594
energy_freq_bands_theta_F7,0.0026463529313224296
skewness_P7,0.0026390366770777745
pow_freq_bands_alpha_Oz,0.0025986242654846697
spect_corr_Fp1_P8,0.002452315737272916
pow_freq_bands_alpha_CP1,0.00228808687593738
spect_corr_CP5_FC2,0.0022385776216286455
pow_freq_bands_theta_FC6,0.0021477580557981565
energy_freq_bands_alpha_CP1,0.002033796125557622
spect_entropy_O1,0.0018860833111476257
spect_corr_Cz_CP5,0.0018196587544784474
energy_freq_bands_alpha_O2,0.001805198919231539
pow_freq_bands_alpha_P7,0.0017510955980190633
spect_corr_CP5_P8,0.0017465801252809928
pow_freq_bands_alpha_CP2,0.0016654243228096618
higuchi_fd_CP5,0.0016079984013680408
max_cross_corr_F3_P4,0.001552753265915478
pow_freq_bands_theta_F7,0.0015414251618664167
pow_freq_bands_beta_F3,0.0015146279410775544
spect_entropy_O2,0.0014996450167768039
time_corr_Fz_Pz,0.001454868498586436
energy_freq_bands_delta_P8,0.0013887111863048395
skewness_P8,0.0013766277540165615
time_corr_Fz_C3,0.00133576849118275
spect_corr_CP5_CP2,0.0013185738545411294
spect_corr_FC1_T7,0.0012934832527170276
pow_freq_bands_beta_C4,0.0012932603605961903
spect_corr_O1_Oz,0.0012892880862331315
pow_freq_bands_beta_Cz,0.001254983927910314
spect_corr_P7_FC6,0.0012110083103762555
spect_corr_FC5_P8,0.0012016312625593615
spect_entropy_T7,0.0012015451974850182
energy_freq_bands_delta_Fp2,0.00118789248410232
spect_corr_O1_F4,0.0011765423855035202
time_corr_F4_Fp2,0.0011432578135245814
spect_corr_F7_Oz,0.0011315602177735852
spect_corr_Fp1_CP5,0.0011295100381971536
spect_corr_P8_CP6,0.001128649664103523
spect_corr_O2_P8,0.001127958541874575
pow_freq_bands_alpha_Fp1,0.0011251869229765002
energy_freq_bands_delta_P4,0.0011232684587322952
time_corr_O1_C4,0.0011038762280719825
spect_corr_FC1_CP5,0.0010967880537329042
pow_freq_bands_alpha_C4,0.0010933757613437926
max_cross_corr_O2_C4,0.0010737904317616091
energy_freq_bands_delta_CP6,0.0010682008323972055
line_length_F7,0.0010609064753598128
spect_corr_O1_P8,0.0010553598483081302
pow_freq_bands_alpha_C3,0.0010522457800930796
energy_freq_bands_gamma_CP5,0.0010471428515378613
pow_freq_bands_gamma_CP5,0.0010450326669057687
spect_corr_P3_FC6,0.0010405371357471987
energy_freq_bands_gamma_Fp1,0.001030469709694407
energy_freq_bands_delta_T8,0.0010250948117926835
energy_freq_bands_alpha_P8,0.0010228390691039175
spect_corr_P8_T8,0.0010222058571587294
spect_corr_Fp1_P7,0.0010162855483300183
energy_freq_bands_delta_Fz,0.0010097449683663757
time_corr_Fp1_C4,0.0009958719299298744
spect_corr_C3_P7,0.0009944810303826406
spect_entropy_P8,0.000994218904298182
spect_corr_F7_P3,0.0009932356543901541
spect_corr_Pz_FC2,0.0009920980859177055
phase_lock_val_O2_P4,0.0009892834715342783
energy_freq_bands_alpha_CP2,0.0009856922336974776
max_cross_corr_Fz_Cz,0.0009799539467065107
spect_corr_P3_CP6,0.0009759329945011442
phase_lock_val_FC1_T8,0.0009757511946188289
time_corr_Fz_Cz,0.0009735953395791061
time_corr_Fz_FC2,0.000970185512555374
spect_corr_Pz_Oz,0.0009686674703228188
energy_freq_bands_theta_P8,0.0009672341371061209
spect_corr_CP2_FC6,0.0009667507589189065
time_corr_C3_F4,0.0009608150341897769
time_corr_F3_CP5,0.0009517972583952466
energy_freq_bands_beta_T7,0.0009416707644234915
spect_corr_CP5_CP1,0.0009361392658642611
pow_freq_bands_theta_T8,0.0009285782329331123
spect_corr_P7_P8,0.0009279301614459205
time_corr_CP6_FC2,0.0009242209951902386
spect_corr_T7_P8,0.0009178236374623749
pow_freq_bands_beta_P8,0.0009177674553286963
energy_freq_bands_beta_Pz,0.0009145076645748309
pow_freq_bands_delta_F3,0.0009088640977351389
energy_freq_bands_beta_CP5,0.0009082008381935777
pow_freq_bands_theta_FC5,0.0009054286545819945
energy_freq_bands_delta_O2,0.0009048164739818762
energy_freq_bands_theta_Oz,0.0009045374232173497
spect_corr_P3_P8,0.0009040665138879535
time_corr_F3_O1,0.0008922477826205648
pow_freq_bands_theta_P4,0.0008903104957578747
spect_corr_Oz,0.0008846889045869798
spect_corr_Cz_FC6,0.0008781866719322837
pow_freq_bands_delta_F8,0.0008754178951002264
spect_entropy_CP1,0.0008742933541640209
pow_freq_bands_alpha_CP5,0.0008735364847485904
energy_freq_bands_theta_FC6,0.0008729621275094559
spect_corr_P4_F4,0.0008706314322688986
time_corr_C3_CP6,0.0008692067468661415
max_cross_corr_O2_P4,0.0008647786671812135
pow_freq_bands_gamma_T7,0.0008636093381200761
spect_corr_Pz_Fp2,0.000860937343821204
max_cross_corr_O2_P8,0.000857474779905927
energy_freq_bands_alpha_C3,0.0008496457876098437
phase_lock_val_FC5_FC1,0.0008490256452404651
spect_corr_Pz_CP2,0.0008489586532013046
max_cross_corr_FC5_P8,0.0008464825690436954
max_cross_corr_Fz_CP5,0.0008452464115422421
spect_corr_C3_P3,0.0008421468075819884
energy_freq_bands_beta_FC6,0.0008386985865971457
pow_freq_bands_delta_CP2,0.0008370040207100155
spect_corr_Oz_F8,0.000836048293859032
time_corr_C4_FC2,0.0008353440661986636
spect_corr_CP5_F8,0.0008345723892550354
time_corr_O2_C4,0.000828351163702058
spect_corr_CP5_FC6,0.0008207583266380442
pow_freq_bands_delta_Pz,0.0008199673151088784
energy_freq_bands_alpha_F7,0.0008194652286333353
phase_lock_val_FC1_P8,0.000808905360394945
samp_entropy_P3,0.0008070354163568385
kurtosis_O2,0.0008065651977148995
time_corr_P8_F4,0.0008049160014703599
line_length_T7,0.0008044707976410219
spect_corr_CP5_Fp2,0.0008039848781592693
spect_corr_P7_CP2,0.0007985014174928827
pow_freq_bands_beta_FC5,0.0007974821531671883
ptp_amp_F7,0.0007971424578807232
time_corr_Fz_FC6,0.0007963457034601853
time_corr_F3_FC5,0.0007911047054317575
spect_corr_CP1_CP2,0.0007906747069201076
pow_freq_bands_theta_Fz,0.0007861180324753811
spect_entropy_Fp1,0.0007838008769611941
spect_entropy_FC2,0.0007797222937246196
pow_freq_bands_gamma_Fp1,0.0007725386272750847
samp_entropy_P7,0.0007719239963709559
pow_freq_bands_beta_CP6,0.0007685754710603682
pow_freq_bands_alpha_CP6,0.0007675699310568989
energy_freq_bands_beta_F4,0.0007661300701210254
time_corr_O1_F4,0.0007633889284694577
time_corr_Fz_CP1,0.0007592768100160347
pow_freq_bands_gamma_F4,0.0007581503837929435
spect_corr_F7_C4,0.0007528227396584818
time_corr_Oz_P4,0.0007501790931927634
energy_freq_bands_alpha_C4,0.0007482810774035422
higuchi_fd_C3,0.0007429539922950778
spect_corr_C3_P8,0.0007389814773103584
energy_freq_bands_beta_P8,0.0007361874451422855
spect_corr_P3_P4,0.0007353283369804388
phase_lock_val_CP1_T8,0.0007333846154518245
spect_corr_Oz_CP6,0.000728974481560997
pow_freq_bands_beta_FC6,0.0007286003816238689
pow_freq_bands_gamma_C4,0.0007248973021518336
phase_lock_val_Fz_Cz,0.0007183796757179354
time_corr_Fz_P7,0.000715621300138869
phase_lock_val_Oz_CP2,0.0007112988326786403
time_corr_FC1_T8,0.0007086014779200516
time_corr_T7_F8,0.0007072984582070222
time_corr_FC1_CP1,0.000706094627115329
spect_corr_FC5_C3,0.0007046135378289697
time_corr_Fz_CP5,0.0007024690616231307
time_corr_Oz_Fp2,0.0007006543344183803
phase_lock_val_F4_F8,0.0006964346028326883
energy_freq_bands_theta_T7,0.0006895810525031707
pow_freq_bands_delta_Fp1,0.000689484120185567
hurst_exp_P4,0.0006886553261223975
phase_lock_val_T7_T8,0.0006865536019877956
time_corr_O1_Oz,0.0006860665433980997
spect_corr_Pz_C4,0.0006842786383800111
energy_freq_bands_beta_T8,0.0006819276430893957
pow_freq_bands_beta_P7,0.0006818981519988712
max_cross_corr_P4_F8,0.00068126602253816
energy_freq_bands_gamma_F4,0.0006810037410263946
time_corr_O2_P8,0.0006800278141264836
pow_freq_bands_gamma_C3,0.0006769305000000209
energy_freq_bands_delta_P7,0.0006765404651004275
pow_freq_bands_alpha_O2,0.0006765023261681342
line_length_CP1,0.0006751664477108424
spect_corr_FC1_O1,0.0006749867584069053
time_corr_Cz_F4,0.0006745541909231201
energy_freq_bands_theta_FC5,0.0006738232261538085
spect_corr_C4_F4,0.0006731850318127553
time_corr_Fp1_Fz,0.0006722808812067978
ptp_amp_C4,0.0006721170031704231
time_corr_C3_O1,0.0006720971099488376
spect_corr_Oz_O2,0.0006705730353592861
samp_entropy_F8,0.0006689057653147522
spect_entropy_F8,0.0006686889199508824
time_corr_CP2_F8,0.0006677496955291309
spect_corr_P7_Fp2,0.0006636113764916635
phase_lock_val_Fp1_Oz,0.000663425432918001
time_corr_FC5_CP6,0.0006625339892825133
phase_lock_val_Oz_P4,0.000659664072045203
skewness_O1,0.0006591067608266041
spect_corr_C3_O2,0.0006506449000958705
spect_corr_F7_O1,0.0006487204910817769
energy_freq_bands_alpha_Cz,0.0006481424782261341
time_corr_C3_CP5,0.0006468039914722117
pow_freq_bands_theta_F3,0.0006456510810601861
energy_freq_bands_gamma_C4,0.0006455648985084207
spect_corr_P8_FC2,0.0006448500327249928
time_corr_C3_O2,0.0006416237313115621
pow_freq_bands_alpha_F3,0.000640709766507807
energy_freq_bands_alpha_T7,0.0006396643705361228
spect_entropy_F3,0.0006389073392149663
phase_lock_val_F3_P4,0.0006383146405830866
time_corr_Fz_O1,0.0006374208232890305
skewness_FC1,0.000636700069581785
pow_freq_bands_gamma_CP1,0.0006350499580525914
time_corr_FC1_P8,0.0006334874589356773
hurst_exp_Fp1,0.0006323745112400274
energy_freq_bands_gamma_Oz,0.0006319334639640717
