subject,model,accuracy,precision,recall,f1,cohen_kappa,date
sub-01,LogisticRegression,0.8844444444444445,0.8855752370728216,0.8836217255467437,0.8840719971181824,0.8265741728922091,2023-10-07 13:13:00
sub-01,RandomForest,0.8577777777777778,0.8582221169285846,0.8569454458062967,0.8567658061101299,0.7865148550080057,2023-10-07 13:21:06
sub-02,LogisticRegression,0.8666666666666667,0.8681236792347903,0.8666195173044487,0.8670314037564711,0.7998517420311342,2023-10-07 15:38:50
sub-02,RandomForest,0.84,0.8416945373467112,0.8410860808121082,0.8398483594669424,0.7601918465227818,2023-10-07 15:47:30
sub-03,LogisticRegression,0.8844444444444445,0.885741895515355,0.8843083871059947,0.8849203697516427,0.8262754647502524,2023-10-07 18:05:27
sub-03,RandomForest,0.8222222222222222,0.8237456869732451,0.8257281441623414,0.821776663881927,0.7337120539676903,2023-10-07 18:14:10
sub-04,LogisticRegression,0.8844444444444445,0.8889939991591178,0.8864598204371689,0.8851183270431294,0.8268359825947962,2023-10-07 20:32:08
sub-04,RandomForest,0.8133333333333334,0.8144037630307653,0.8159036832587798,0.8133043475509228,0.7201989696216025,2023-10-07 20:41:50
sub-05,LogisticRegression,0.8488888888888889,0.8426000627493165,0.847718253968254,0.8433357000116234,0.7726799988113987,2023-10-07 22:59:47
sub-05,RandomForest,0.8133333333333334,0.8089625628608679,0.8090503246753246,0.8056724300396644,0.7182636694293721,2023-10-07 23:06:19
sub-06,LogisticRegression,0.8844444444444445,0.886284447260057,0.8845129375951294,0.884587582751834,0.826368277335866,2023-10-08 01:24:27
sub-06,RandomForest,0.8133333333333334,0.8141559280799787,0.8150494672754948,0.8137768664084454,0.7200331812525923,2023-10-08 01:34:06
sub-07,LogisticRegression,0.8355555555555556,0.8337317653107128,0.8347204438753734,0.8337397092691151,0.7518407011059111,2023-10-08 03:52:17
sub-07,RandomForest,0.8355555555555556,0.8347163448287044,0.8329065300896287,0.8331966792242899,0.7513960641442948,2023-10-08 04:01:28
sub-08,LogisticRegression,0.8533333333333334,0.854469814241486,0.8521681809062508,0.8527924601923972,0.7791164658634538,2023-10-08 06:17:50
sub-08,RandomForest,0.8311111111111111,0.8336219336219336,0.8320563405399036,0.8310327151037731,0.746328437917223,2023-10-08 06:26:04
sub-09,LogisticRegression,0.8044444444444444,0.8075908329433469,0.8026316669341464,0.8048926208876224,0.7000272702481593,2023-10-08 08:42:28
sub-09,RandomForest,0.7911111111111111,0.8019756174806868,0.8099505831059756,0.7918395739405318,0.688714235252561,2023-10-08 08:51:52
sub-10,LogisticRegression,0.8222222222222222,0.8236217214158389,0.8216774813746696,0.8221263046044024,0.733167304100329,2023-10-08 11:09:33
sub-10,RandomForest,0.8266666666666667,0.8300861160568292,0.825883201153569,0.8256706386928138,0.7397686832740213,2023-10-08 11:18:57
sub-11,LogisticRegression,0.8533333333333334,0.8556531703590528,0.8545676545676546,0.8530315072252326,0.7801368037665453,2023-10-08 13:35:45
sub-11,RandomForest,0.8088888888888889,0.8118466898954703,0.8106893106893107,0.808534420057331,0.7135285583158144,2023-10-08 13:44:16
sub-12,LogisticRegression,0.84,0.8398954061924289,0.8400774191913433,0.8399598871946167,0.7598007235632525,2023-10-08 16:01:50
sub-12,RandomForest,0.7822222222222223,0.785375118708452,0.7833197121171804,0.783015873015873,0.6731008717310087,2023-10-08 16:10:44
sub-13,LogisticRegression,0.8222222222222222,0.8209013209013208,0.8243995373205416,0.8212709135618802,0.7330327479829142,2023-10-08 18:28:26
sub-13,RandomForest,0.76,0.7617478758453268,0.763905398860912,0.7601715639690324,0.6403835908364411,2023-10-08 18:36:52
sub-14,LogisticRegression,0.7911111111111111,0.7925000000000001,0.7913362172554675,0.7909340679431026,0.6868058640604175,2023-10-08 20:55:56
sub-14,RandomForest,0.7244444444444444,0.7390809503485559,0.7242850276375871,0.7211769457570982,0.5865196514316201,2023-10-08 21:05:05
sub-15,LogisticRegression,0.8133333333333334,0.8136894586894586,0.8133354873861203,0.8133395696061632,0.719875500222321,2023-10-08 23:22:09
sub-15,RandomForest,0.7866666666666666,0.7877630153389976,0.7869483407458091,0.7862256993835942,0.6802084567097003,2023-10-08 23:28:43
sub-16,LogisticRegression,0.8533333333333334,0.8574844248790031,0.8546858546858546,0.8525923891809298,0.7802149009857029,2023-10-09 01:45:12
sub-16,RandomForest,0.8044444444444444,0.8096113087946489,0.8058383058383058,0.8032690253853012,0.7070052383911924,2023-10-09 01:54:01
sub-17,LogisticRegression,0.8888888888888888,0.8907252631129604,0.8871706268966543,0.8873662735731701,0.8330563305039473,2023-10-09 04:11:45
sub-17,RandomForest,0.8488888888888889,0.847222750919934,0.8478467930522725,0.8473613103032571,0.7731922084852797,2023-10-09 04:21:52
sub-18,LogisticRegression,0.8088888888888889,0.8081935425685426,0.8092353387910617,0.8079603909465022,0.7119335437384624,2023-10-09 06:42:37
sub-18,RandomForest,0.8044444444444444,0.8100325600325601,0.813307718051694,0.8037283966496993,0.7075505140021269,2023-10-09 06:50:47
sub-19,LogisticRegression,0.8355555555555556,0.8330125026735887,0.8315261178463724,0.8311912520610806,0.7523279683455806,2023-10-09 09:09:08
sub-19,RandomForest,0.8133333333333334,0.8118545760950825,0.8139380101204067,0.8117607836005835,0.719941913878434,2023-10-09 09:17:33
sub-20,LogisticRegression,0.88,0.8788730300327089,0.87477059789433,0.8748542779958403,0.8184562053611452,2023-10-09 11:39:02
sub-20,RandomForest,0.8666666666666667,0.8692409792986965,0.8664879745001448,0.8653310905963084,0.7990234026082297,2023-10-09 11:48:58
