,kappa
sub-03,-0.0045378213934973615
sub-08,-0.010574018126888225
sub-09,-0.03172205438066467
sub-11,-0.02748550341150335
sub-12,-0.04603082440963978
sub-13,-0.03825177854973137
sub-14,0.0
sub-15,-0.0024652766588250247
sub-17,-0.014445968806933124
sub-22,-0.0252979668146763
sub-26,0.0
