subject,model,accuracy,precision,recall,f1,cohen_kappa,date
sub-01,LogisticRegression,0.4222222222222222,0.5555555555555556,0.5414746543778801,0.41500000000000004,0.05797101449275366,2023-10-06 13:38:59
sub-01,RandomForest,0.6888888888888889,0.34444444444444444,0.5,0.40789473684210525,0.0,2023-10-06 13:43:27
sub-02,LogisticRegression,0.5555555555555556,0.44548872180451127,0.4695378151260504,0.43181818181818177,-0.06888361045130642,2023-10-06 14:11:25
sub-02,RandomForest,0.6222222222222222,0.3111111111111111,0.5,0.3835616438356164,0.0,2023-10-06 14:15:48
sub-03,LogisticRegression,0.6666666666666666,0.3333333333333333,0.5,0.4,0.0,2023-10-06 14:42:55
sub-03,RandomForest,0.6,0.32142857142857145,0.45,0.375,-0.125,2023-10-06 14:46:24
sub-04,LogisticRegression,0.6222222222222222,0.3111111111111111,0.5,0.3835616438356164,0.0,2023-10-06 15:13:29
sub-04,RandomForest,0.6222222222222222,0.3111111111111111,0.5,0.3835616438356164,0.0,2023-10-06 15:18:56
sub-05,LogisticRegression,0.6444444444444445,0.5571428571428572,0.5460829493087558,0.5454545454545454,0.10000000000000009,2023-10-06 15:46:05
sub-05,RandomForest,0.5333333333333333,0.4435096153846154,0.44585253456221197,0.4444444444444445,-0.11045828437132776,2023-10-06 15:49:25
sub-06,LogisticRegression,0.5555555555555556,0.4847972972972973,0.4907407407407407,0.4591346153846154,-0.020408163265306145,2023-10-06 16:16:22
sub-06,RandomForest,0.5777777777777777,0.29545454545454547,0.48148148148148145,0.3661971830985915,-0.0439560439560438,2023-10-06 16:19:51
sub-07,LogisticRegression,0.6888888888888889,0.6785714285714286,0.55,0.5138888888888888,0.125,2023-10-06 16:46:56
sub-07,RandomForest,0.6666666666666666,0.3333333333333333,0.5,0.4,0.0,2023-10-06 16:51:55
sub-08,LogisticRegression,0.6,0.4420731707317073,0.4795258620689655,0.42142857142857143,-0.04922279792746109,2023-10-06 17:18:59
sub-08,RandomForest,0.6444444444444445,0.32222222222222224,0.5,0.39189189189189194,0.0,2023-10-06 17:24:43
sub-09,LogisticRegression,0.5777777777777777,0.4298780487804878,0.4758403361344538,0.40993788819875776,-0.056860321384425205,2023-10-06 17:51:46
